map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
48085,southwest,urban,very low elderly percentage,very low access to doctors,high uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,very high hispanic population,0.04107,0.230340656,very low covid risk index,very low social vulnerability rank
27109,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.041388,0.218720153,very low covid risk index,very low social vulnerability rank
49043,rockies,rural,very low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.041706,0.234161095,very low covid risk index,very low social vulnerability rank
16055,rockies,small city,moderate elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,medium hispanic population,0.042025,0.239201953,very low covid risk index,very low social vulnerability rank
30081,rockies,rural,very high elderly percentage,low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,medium hispanic population,0.042343,0.247638756,very low covid risk index,very low social vulnerability rank
46045,midwest,rural,high elderly percentage,moderate access to doctors,moderate uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.042662,0.204022074,very low covid risk index,very low social vulnerability rank
38031,midwest,rural,very high elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.04298,0.250504086,very low covid risk index,very low social vulnerability rank
54079,southeast,small city,moderate elderly percentage,very low access to doctors,very low uninsured rate,high diabetes rate,high cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.043298,0.197283243,very low covid risk index,very low social vulnerability rank
8033,rockies,rural,very high elderly percentage,null,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,high hispanic population,0.043617,0.271994057,very low covid risk index,very low social vulnerability rank
50005,northeast,rural,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.043935,0.277724716,very low covid risk index,very low social vulnerability rank
51145,southeast,suburban,moderate elderly percentage,moderate access to doctors,moderate uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,low hispanic population,0.044253,0.214740529,very low covid risk index,very low social vulnerability rank
56021,rockies,small city,low elderly percentage,low access to doctors,moderate uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,very high hispanic population,0.044572,0.227103895,very low covid risk index,very low social vulnerability rank
23023,northeast,small city,high elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.04489,0.195797517,very low covid risk index,very low social vulnerability rank
38003,midwest,rural,high elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.045209,0.209009869,very low covid risk index,very low social vulnerability rank
